filename,width,height
0001,2174,3541
0002,2174,3542
0003,3575,5818
0004,861,1396
0005,850,1357
0006,865,1381
0007,1155,1832
0008,1114,1762
0009,1125,1798
0010,1132,1802
0011,1789,2856
0012,1825,2832
0013,1720,2794
0014,1082,1766
0015,1064,1736
0016,1082,1766
0017,1638,2703
0018,1064,1754
0019,1654,2714
0021,1756,2850
0022,1792,2926
0023,1756,2850
0027,2423,3951
0028,1700,2778
0029,1732,2800
0030,1118,1805
0031,1767,2856
0032,1080,1739
0033,1842,2994
0034,1830,2988
0035,1970,3180
0036,1114,1802
0037,1993,3257
0038,3561,5793
0039,2520,4114
0040,1745,2845
0041,2701,4384
0042,2692,4376
0043,2684,4376
0044,2667,4360
0045,3534,5712
0046,3512,5700
0047,3512,5700
0048,2692,4384
0049,3172,5172
0050,1728,2834
0051,3524,5712
0052,1319,2152
0053,1976,3226
0054,2014,3289
0055,5400,8856
0056,2998,4894
0057,951,1529
0058,2052,3270
0059,929,1507
0060,2091,3372
0061,1988,3232
0062,1995,3238
0063,2002,3238
0064,913,1476
0065,1988,3238
0066,1988,3232
0067,792,1286
0068,3075,4943
0069,2020,3252
0070,954,1529
0071,933,1520
0072,2072,3360
0073,928,1512
0074,1982,3226
0075,2007,3245
0076,2078,3360
0077,2071,3277
0078,947,1492
0079,2032,3238
0080,2039,3252
0081,2032,3257
0082,2032,3245
0083,3376,5459
0084,3037,4913
0085,3600,5746
0086,957,1529
0087,3524,5712
0088,2007,3245
0089,3456,5668
0090,3456,5668
0091,3678,5800
0092,3646,5768
0093,3578,5746
0094,1953,3145
0095,3490,5678
0096,3490,5690
0097,3478,5678
0098,2034,3289
0099,3478,5678
0100,2966,4822
0101,3490,5678
0102,1940,3164
0103,3534,5712
0104,3512,5700
0105,1951,3166
0106,3568,5734
0107,2947,4811
0108,928,1512
0109,894,1446
0110,1728,2834
0111,1005,1636
0112,996,1633
0113,1043,1668
0114,1071,1722
0115,1033,1671
0116,1012,1642
0117,1014,1652
0118,1006,1627
0119,1004,1627
0120,991,1614
0121,1065,1698
0122,1026,1634
0123,1598,2604
